text,rating,期望标签,类别
"The package comes in two different sizes of your choice in white color. It also comes in good quantity. They are durable and easy to use. This type zip tie does not break easily, very sturdy and durable.",0,0,明确非音质
Description indicated that these will work for charging an iPad. I tried them on two different iPads. None of them worked.,0,0,明确非音质
The product is fine.  The description says it plays wma files.  I received it and read the package.  It does not play wma files.  It may work fine for mp3.  I do not need a mp3 player.  I have not even tried it.  Deceptive advertising. in description.,0,0,明确非音质
"I purchased this after reading the description and some of the reviews, and I'm quite happy with it.  No, it's not real leather -- the description clearly says ""synthetic leather"" so no disappointment there.  The price (I paid less than twelve dollars) says it's not going to be Gucci quality, but it was actually better than I expected.  I got the ""Purple Embossed,"" and it looks a bit like tooled leather in a sort of lacy/jacquard pattern.  Very attractive.<br /><br />Most important, it fits my older iPad 2 perfectly.  The sleep/wake feature works, and, after 4 months of daily use, it's holding up just fine, with no sign of durability issues at all.<br /><br />I would purchase this again, and probably will if the current one wears out.  It's becoming more and more difficult to find cases for my older iPad, and this one works for me.",0,0,明确非音质
"I was really skeptical about getting one of the newer kindles since I was a die hard kindle fan when they first came out. I always like my electronics to have buttons and especially my kindle since I tend to read with one thumb on the screen itself I worried that if I upgraded to this, my thumb would either end up turning pages too soon or it wouldn't be sensitive enough to read my thumb when I wanted to. My old kindle no longer took a charge after 6 years so I had to upgrade and literally the only reason I went with this over anything else (I was wanting to get another one of my old kindles) was the backlight. I have insomnia so I'm often awake in bed with my snoring boyfriend next to me so having a light on isn't an option so having a kindle with a backlight would be ideal.<br /><br />Turns out my worry over not having a button was all in vain! The touch screen has just the right amount of sensitivity. It's not so sensitive that resting my thumb on the screen where it's comfortable activates anything, but it's not so dull that I can't turn the pages easily. The back lighting is adjustable so I don't have to blind myself and I don't have to use it if I don't want to if I've got plenty of natural light. The screen is clear and crisp, it fits comfortably in my hand and the amount of books I can fit on there is insane! I've currently got 200 titles and I've still got plenty of room for more. It moves faster than my old kindle and the charge is amazing. I've been using it for over a month now and I'm still at 25% battery without charging it once aside from the day I received it.<br /><br />This is by far the best kindle I've ever had!",0,0,明确非音质
"This is a nice, compact little mini-speaker. It has very nice sound for the size. I wasn't expecting much,  but it exceeded my expectations. It has a clip so you can take it with on a backpack, which is perfect for my needs. It would be perfect for camping and hiking or taking with anywhere.",0,0,明确非音质
"Time display large & bright.  The alarm, even on the high setting, too low.",0,0,明确非音质
Very small cord,0,0,明确非音质
"This is a different keyboard for me.  I was worried it would be difficult to use because of the way the keys stand out.  However, it is easy to use and I have some arthritis in my fingers.  You do need 2 AAA batteries that are not included.  Between the time I got it and the time I got some new batteries, I misplaced the instructions.  However, I figured it out pretty quickly - there are 2 or 3 Bluetooth connections.  Hold one down until the light starts blinking and make sure you are in the connect Bluetooth section of your device.  The Keyboard name shows up and you connect.<br /><br />Typing is easy and it has the Mac and Windows key names on the function keys, so it can be used with either.  I set it up with my iPad and I will also set up my Lenovo laptop.  Don't know how long the batteries will last yet.",0,0,明确非音质
"This is easily the best tv I have ever owned. I really thought I owned quality TVs before, but the picture on this thing is just amazing. I don’t think I’ve ever seen picture this sharp in a home tv before (maybe I need to get out more). The tv itself is huge, I don’t know why I thought 65 was smaller than this, but there is almost no clearance in my entertainment center, it barely fit, so make sure you aren’t like me and measure first.<br />As for the sound quality, it’s really great. For the last few years getting speakers or a sound bar has been on my list of things I want, but with this tv I honestly feel no need.<br />I will say that it is taking me some time to get used to the app system on this tv, for several years now I have exclusively used amazon fire for everything (cable and apps), I’ve been trying out using the built in App Store that comes with this, but honestly I feel like I might be going back to my fire, but I’m going to give it more time.<br />Overall, I’m so happy with this television and I would recommend it to anyone.",0,0,明确非音质
Fits the bill at a very fair competitive price,0,0,明确非音质
"Worked well, was a little nervous about hooking to my phone but I had no issues.",0,0,明确非音质
"not your standard electric ties.  made of very thin, and flimsy material.  possible use is to tie thread together.  not for fat cable wires.",0,0,明确非音质
"Not a good product at all. I ordered a w thousand dollars worth of furniture. I decided to purchase this for the sofa. The sofa was literally a piece of junk. I wanted my money back from the company and they wanted me to pay hundreds to ship it back. It was a $600 sofa and I wasn't wasting my time or money shipping. Shortly after it was tearing, staples coming out (within weeks). I contacted this warranty place numerous time. I received ZERO response. Don't waste your money because this &#34;warranty&#34; is not a warranty. It's a ploy to have all sorts of people spend money on this warranty and they do nothing.",0,0,明确非音质
I am using these for extra space on my glass drafting table I use for my art. I never actually tilt the table so I’m not worried about them sliding. They match the table like they’re made for it.,0,0,明确非音质
"I've had this for almost a year. Works great, and it's nice and fast.",0,0,明确非音质
One of my favorite lenses<br />Arrived quickly and just as described!,0,0,明确非音质
I purchased to take tablet to pool for reading and the glare is still so bad cannot see screen,0,0,明确非音质
Tried to contact customer service about an issue with this product. No response. DO NOT PURCHASE. You will be sorry.,0,0,明确非音质
"This worked very well as a replacement for a computer power supply cord that was very loose and wobbly. (And all the other old cords I had were the same.) Plugged this in and it fits perfectly and won't be wiggling off anytime soon. The quality of both ends is very well made, much better than cords that come with computers.",0,0,明确非音质
Only place I can still get VHS tapes so i can tape my favorite programs and then watch when convenient,0,0,明确非音质
Love it! Great sound,0,0,明确非音质
"This is a review of the product by the person I got it for:<br /><br />Definitely is the actual size as shown on the box. Nice, compact size with a requirement of only one USB port. Installation was easy to follow and complete (follow the folder-finding path on the manual though, and don't just start clicking files when the hard-drive shows up under ""My Computer""). For not being a particularly tech-savvy person myself, it was fairly easy to transfer files from my old hard-drive to the new one. Fast access; doesn't slow down my computer like my older one did. Completely satisfied with the product; very user friendly.",0,0,明确非音质
"After reading the comments here, I decided to not bother with the Sony software. I installed ""Nexus Media Importer"" from the Google Android app store and it automatically detects and mounts the Sony device. I can read and write files with no problem, including playing audio and video files without copying them to the phone memory. On my PC, the Sony device mounts like any other flash drive. I would give this 5 stars if it was $30 (and if it came with better instructions), but the $45 price seems high for what is essentially a flash drive with a micro-USB port. You can get the same functionality (in a larger form factor) by using a regular flash drive and an OTG cable (sold here on Amazon for less than $2).<br /><br />EDIT: I'm still happy with this device, but since writing this review, I've noticed that several other companies (SanDisk and others) have come out with similar products (flash drives with both micro and regular USB connectors) and some of them have much faster USB3.0 speeds. Sony has reduced their price to be competitive. Shop around; I expect functionality is similar.",0,0,明确非音质
I love the size but this heater is a piece of dog doo,0,0,明确非音质
It's a perfect fit for my hand size.,0,0,明确非音质
"I bought a case like this for a MacBook a while back, and that machine still looks pristine. I bought this one for a new Acer and it does the same great job. The little legs that raise the back of the laptop are great for typing and for providing better air circulation.",0,0,明确非音质
"I ordered this player as I am still using a very old iPod Nano, which I still use as I love the shuffle feature on it.  But wanted a Bluetooth unit, with a lot of storage and this one fits the bill. Plus you can buy another memory chip for even more music or videos.  But the screen is way to small for me to want to watch videos on it. Only down side for me is that it is not a touch screen. I does not advertise a touchscreen, but I am not so used to touch with all of the handheld devices I still try to press on the screen once and awhile while playing it. Nice unit for the price.",0,0,明确非音质
This works like a charm.  Vivid video and pictures.  Love the 3 way split screen. It was so easy to install and set up,0,0,明确非音质
"Hung this up at a Halloween party as a decoration and everyone started using it as a photo background. I've used the reverse side to moderate success as a dark backdrop for photography. The size is great, covers a lot of area. Considered using it as a tablecloth as the product description suggested but just couldn't take the risk of stains or damage. Getting the wrinkles out was a bit of a pain. I don't have one and had to ask five friends before I found one with an iron I could borrow! Great for parties or just as a decoration.",0,0,明确非音质
"I ordered the 'Nomodo U Wireless Wearable Bluetooth Speaker, Rechargeable and Portable' for review and would like to share some of my thoughts and experiences.<br />First off, out of the box this Bluetooth Wireless Speaker not only looks interesting but it is beautiful. I say interesting because I have never had a Wireless Speaker like this, and I wonder where would I use it and would it be practical. Well after some time with this device I must first report that it really does sound amazing. The sound is clean and immersive. It is hard to describe the incredible sound sensation while wearing it. It is almost as if you have speakers floating on either side of your head (pointing directly to your ears) and it is nothing like I have experienced before but it is pretty cool. I have been trying to think of how this Speaker would actually fit into my life. It's not like you are wearing headphones that only you can hear. While wearing this speaker, everyone else around you can hear it too but it's just not as immersive as it is to you. It's hard to describe, but what I will say is that it really is an incredible experience. If the volume is down low you can still hear your surroundings yet when you crank it up, surprisingly your surrounding sounds seem to disappear. Personally I have decided that this would be best worn while alone in your home while doing simple household chores. Like doing dishes or folding laundry. The Nomodo U speaker stays put pretty well for the most part due to the rubber neck pad, yet if you are constantly bending over or doing anything where you are moving around a lot and twisting your head and body, it tends to need re adjusted. Sitting in bed listening to Music or listening to an audio book works really well with this device as long as you wont be disturbing your partner. As for watching movies, for me this really doesn't work. I can't find anywhere where it says what version of Bluetooth this is using but I don't think it is Bluetooth 5.0 unfortunately. There are noticeable sync issues and this just gets annoying. Speaking of the Bluetooth, it connects/pairs effortlessly to all of my devices and that is a bonus.  I am disappointed however that it uses Micro USB (the cable is included btw) for charging. With this being a new device it should have USB Type C. I always have to mention this with any new devices. Call quality is acceptable. Those on the other end can hear you just fine, as long as you are not in a loud environment. This is pretty typical with most wireless headphones. Overall I do love this device and think it is a great value for what it is.",0,0,明确非音质
"When I first received these I was rather happy and initially gave a 5 start review and bought a second set.  My only complaint was I wished the magnets were a little stronger.  Five months in, the cables themselves are good but the piece that goes in the phone are not that great.  The first one all but lost it's magnetic pull.  I tried cleaning it in case there was dirt I couldn't see but that didn't help.  So I switched to the other adapter that came in the second set and in no time the metal ring that attached to the plastic on the adapter feel off.  I took shoe goo and put a little on the plastic and reattached the metal ring and it is working again, but they shouldn't wear it this fast.  I bought them believing they'd last longer than traditional cables, but so far they don't.",0,0,明确非音质
just what i needed A+,0,0,明确非音质
"took forever to post this review, but these broke within a week. totally forgot about these",0,0,明确非音质
Thinner than I expected but ok.,0,0,边界-委婉表达
"This stand is cool and contemporary. Assembly is required but the instructions are easy to follow and it is not as much of a hassle as I anticipated. Once assembled this stand proves it is not just a pretty face. it is sturdy, steady and swivels without issue. it holds my Lenovo 15.6-inch laptop perfectly. It sleek professional look make it as perfect for the office as it is for the home. Very pleased with this stand.",0,0,边界-委婉表达
"I received this as a birthday present from my kids. I followed all of the skimpy instructions for set up it came with and went to the website for help(using the iPad keyboard because the Typecase keyboard wouldn’t come on).<br />  I’m not sure which is worse, the product itself, the lack of instructions that came with it or the lack of support from the company for dealing with issues.<br />  This case NEVER WORKED A SINGLE TIME.  Since I installed the iPad Pro in it I have NOT ONCE gotten the keyboard to come on and work for typing.  There a few useless FAQs on the website but it takes FOREVER to even find a FAQ page.  Not a single question/answer regarding non-working keyboard.<br />  No one EVER answered or returned my chat on their “convenient” chat function that is obviously not actually manned.  No one from the company has returned any of three emails sent straight to the company.<br />  If I were buying a keyboard for myself I would never chosen this one with only 57% 5 star reviews. Huge red flag in my book. But since it was a gift I’ve done everything in my power to make it work without letting my kids know it’s a lemon but the issues are so bad I’m finally having to work with my kids to return it. Normally I would NEVER let a giver know the gift wasn’t working but this horrible thing was expensive!  Absolutely not acceptable in any aspect of this purchase. KEEP SHOPPING!  There has to be something better out there.<br />  PS: If they won’t even answer questions about troubleshooting, I can only imagine how impossible it would be to get them to stand by the warranty. I’m not sticking with it long enough to find out.  Going back today!",0,0,边界-委婉表达
"I received my Kindle Fire HD 8 tablet in May.  I recently encountered a problem with my email not refreshing.  In fact, it got stuck in August and wouldn't load anymore.  I researched the problem, and the advice given didn't help but an online forum did.  It suggested I download the Outlook email app, and that fixed the problem!  I dropped the old email icon into an unused folder and moved the Outlook icon up to the top where I now can get all my current emails.  Yay!  So I'm just offering this as a suggestion if anyone else is having the same problem with .outlook or .live email using this device.  The Amazon app store is sufficient and the books available are the ones I want and enjoy.  The games play fast enough for me.  I was able to take the tablet to Japan and hook up to my son's wifi without a problem.  Even got to watch Netflix in my bedroom there!  I'm very satisfied with this tablet and it works just fine for me.",0,0,边界-委婉表达
"I have worked with a number of trackballs, my most successful being a Logitech M570 which served me well for years. I finally wore it out and after some research I purchased the Logitech MX Ergo to replace it. I have had it about three days, and it has already proven to be exactly what I had hoped and more. It’s not perfect but it’s close.<br /><br />I was attracted to the fact that it works both as a wireless mouse with a USB receiver as well as a Bluetooth mouse. I have two computers on my desk, one being a Windows 10 system and the other being a Linux (Arch-based) system. My old trackball worked with both though I had to move the receiver between the systems, so I went with the assumption that this one would also work with both.<br /><br />I connected the trackball to my Windows system via Bluetooth and it has been flawless in operation. It connects without intervention and it works exactly as expected - all buttons work as they should and the operation is very smooth and predictable.<br /><br />I plugged the USB receiver into the Linux machine, pushed the channel button on the trackball and it immediately started working on the Linux machine, even though it was still paired to the Windows system via Bluetooth. It works exactly as it should and I have had absolutely no issues with the trackball on my Linux installation. So now, I can switch back and forth between the two systems with the push of the channel button and without having to connect or disconnect anything. It simply works, and the switch-over is fast. The take-away for me is that I no longer need two mice on the desk.<br /><br />I friend came over with his MacBook and there was no issue at all with connecting the trackball via USB. We did not try connecting via Bluetooth.<br /><br />The trackball has a metal plate on the bottom that is held in place with magnets, and depending on how the plate is attached the trackball can be tilted to ease wrist strain. The plate serves another purpose too - it adds a lot of weight to the trackball. Even without the plate, the trackball is hefty and has some mass to it, but the plate just makes it even more so. For me that’s a positive; others may dislike the added weight.<br /><br />One of the things I have missed has been a tilting scroll wheel. This trackball has one and I have been enjoying getting used to that feature again.<br /><br />One thing I did notice is that there is no CD/DVD in the package for loading drivers. This isn’t a big deal, and it’s easy enough to get the drivers from the net. That said, the trackball just seems to work when you attach it, without any issue. For me it has absolutely been plug-and-play, on every system I have tried.<br /><br />If I could change one thing - I would have made this trackball a little bigger. I have big hands and I struggle to find a trackball that’s an absolute perfect fit. This one is close. For the large majority of people it’s going to be spot on.<br /><br />I am very happy with this trackball and have no issue with recommending it. It works great, connects easily, when connected to two different systems it switches at the press of a button, it has a bit of heft to it and the tilt is adjustable for wrist comfort. It’s really all I could ask for.",0,0,边界-委婉表达
"I bought this as a replacement for my 1200 dollar helios 300 that was 4 years old. I thought the technology would've improved that a 800 dollar new laptop would perform better then a 4 year old 1200 dollar computer. I was wrong. I averaged 60 fps with major lag spikes in teamfights in League of legends a 10+ year old game. I expected 120+ with the screen at 144hz. But it wasn't the screen holding me back it was the gpu, I guess. Also had poor performance in Dota 2. I wouldn't recommend this laptop. Also the volume on the speakers never rose over 50% it seemed. I couldn't hear the other players voices in dota 2 with everything on max. It was the computer, my note 20 is faster, clearer, battery stronger, and a smoother experience in League of Legend wild rift. So if you don't mind dying everytime there are more the 1 thing going on like single player games, go ahead and get this. But if you want to be frustrated every time you play, go ahead and get this ""gaming"" laptop. I didn't even try any of the AAA games, so maybe it's just the games I play. SMITE, DOTA 2 LOL PALADINS",0,0,边界-委婉表达
Pros<br />1. Sound is great for the price.  (more so than expected)<br />2. Battery life is great.<br />3. Impressive accessory pack included.<br /><br />Cons<br />1. Mic is absolutely useless.,0,0,边界-委婉表达
"I purchased this power USB strip because the one I had was not powered and was taking a long time to upload data, it took me 35 minutes with the old hub and using this new powered USB it took me 17 minutes, so its not as quick as the said it would be, but it does help. I hope this helps you in your decision to purchase one.",0,0,边界-委婉表达
