text,sound_negative
"This works like a charm.  I can have my DVD, DVR, and fire stick all hooked up at once.",0
"I had to replace my current laptop cooler. The fans were going bad (very noisy). I use this with a 17"" HP dv9000t laptop with two high speed hard drives generating a good amount of heat. The laptop is a desktop replacement. If you use your laptop actually ON your lap, this cooler is not for you considering the open back on the fan. If you use the laptop on your desk, it is very effective, especially for the price. It is VERY quiet. In addition to the large fan moving a lot of air at low speed which reduces the noise of the cooler itself, it is so effective at cooling, the fan IN my laptop has not had to go to high speed since I started using it. This lowers the overall sound. Just by having my hands on the top of the laptop when I type, I can tell the laptop is running much cooler. The cooler is a third of the price of the last one I had, but more effective. It does raise the height of the keyboard up more than my last cooler, but not to the extent that it causes a problem. Happy with this purchase.",0
"And with a pop and an awful smell, it was dead. I thought I would get more use out of it, which is why I only gave it 3 stars.",0
Excellent Streaming TV for the money! I ordered 2!,0
So far I have used the black one of these and it’s PERFECT. Blocks out everything completely and fits perfectly on my MacBook Air. I keep it closed basically all of the time and then open it for class. It slides very easily and is durable. I’ve had it on for about a month now and have had no issues with it.,0
"I love this camera, but I use it mainly for the microphone. It works very well for both video and sound. However, there is no way to put the microphone volume on 0, which still picks up sound, and make 0 the default volume. Every time I restart the pc, the microphone volume goes back up to the same level as the system volume.... and it squeals and shreeks  so loud until I am able to pull up the system volume and put it back to 0. With sensitive ears, and restarting my pc a few times per week, this is ridiculous for such a nice web cam, and it seems there should be a fix for it.",1
Works as expected.,0
"Attractive metal case with clearly visable indicator lights. Some other plastic models place cables in the rear and put the indicator lights up in front which only show you if there is traffic going through. The good thing about this is that the layout allows you to tell clearly what is active, and also what is the negotiated connection (100m vs 1g) which saves checking your computers for negotiation issues.",0
"Bought from Amazon Warehouse to replace an old, but long lasting prior version,condition was like new, and came perfect! We are enjoying using it too!",0
"Great player, but unless paired with other Samsung hardware, it does delay.",0
"This router works exactly like it is supposed to. It was very easy to set up and instal. Just insert the CD into your computer and follow the onscreen prompts. We had it set up within 30 minutes and have not had any problems with it. The only downside is that it does not contain a USB port, but that is not a big deal because Linksys has other models that offer that option.",0
This item made a loud hissing sound that wouldn’t stop as soon as I plugged it in<br />I feared for our safety so I threw it in the garbage,1
These are great replacement for the AirPod Pro  ear pieces,0
"I bought some really nice earbuds from another brand and sadly their small, medium, and large ear canal things are way too big for my tiny ear canals.  So, I bought these so I could listen to my games and music without them falling out of my ears constantly.  They smallest tips fit, but are a bit uncomfortable, and after only maybe 6 times use, I notice that sound is only coming out of one ear.  Also, the cord is coming apart.<br /><br />I’m sorry to say that the sound quality is not that great either.  If you’re looking for good wired earbuds, trust me, these are not it.  I will be sending mine back for a refund.",1
Works great to keep my IP camera with borked wifi online.,0
"This works ok for the price point. When typing on the keyboard a name of a movie to search, it often skips letters and I have to push them more than once. Even with that it's still a time saver so I'm not mad. Decent budget remote.",0
This worked well for the first month but now useless since it has so much static. Definitely disappointed.,1
"The GOOD:<br />These work well for hearing dialog and hushed speaking, or when it's accompanied with a lot of background noise in certain movies and tv shows.  Also work well if someone is hard-of-hearing, so that you don't have to crank up the volume on the tv (the volume of each headset is individually adjustable).  We've found it also works well if one person watching tv while others in the room are playing games or watching something else on their tablets.<br />The BAD:<br />These are extremely Line-Of-Sight.  The base unit has to be aimed directly where you're seated, and if you're sitting just a couple/few feet to either side, you'll start getting more & more static.  If I stand up to grab something from the other side of the room, the static will overtake the tv audio dialog completely and I have to take them off my head.  Seems strange that the technology is so limited on these, requiring near perfect seating placement.  I'll even get brief blasts of static just by raising my hand up to my face, as it seems to partially block the signal coming from the base unit.<br />Overall worth having but could definitely be improved.",0
Great Sleeve.  Love the look and love how my 13in Macbook Pro Retina fits in it without adding bulk or weight.,0
Very sturdy 4-monitor stand.  Very adjustable.  One of the most irritating things about monitor stands for me are when they don’t line up side by side or the outsides droop.  None of that with this!  Good product.,0
It works as advertised.,0
Fits well!,0
This thing sounds great and for it’s size it’s really loud. I have quite a few Bluetooth speakers and pound for pound this one blows the others away. I purchased it for $30 less than regular price so I got a steal! So what are you waiting for? Hit that BUY NOW button!,0
This case was exactly as advertised.  It was difficult to get the Kindle in the case but the fit is good.,0
"No fuss, no muss. Just plug it in and the phone instantly recognized the device and used it. Much faster than wi-fi. Stable, too.",0
Doesn't work like they say it should. Would not buy again.,0
"The first time I came to the US, I went to a physics laboratory and they used these everywhere, clamped to the wall. It looked very professional, hadn't seen these before in Europe.<br />Yes it's expensive, but it's high quality, and there are little details that make it worth it, such as the mounting hardware, and the protected on/off switch. The cable is very long, which is nice, because extension cords are a very bad choice, and in fact were prohibited in that lab I talked about.<br />The wire is thick and this power strip can handle big loads, so in that regard it's very competitively priced.",0
"I had a straightforward need. I wanted to connect my TV to my Echo show via Bluetooth. I will grant that the Echo devices are very particular with which Bluetooth devices they will connect. However, this device paired easily with the Echo on the first try.<br /><br />After this device connected, the audio delay was so bad that every program looked like a poorly dubbed foreign movie.  I can watch movies with poor video, bad color, static, etc. But there is nothing that makes me crazier than out-of-sync audio when watching a film.<br /><br />The sound volume was also very low, and there was a lot of static if you tried to increase it to normal listening levels. Keep in mind that the two devices were about 12 feet apart with a clear line of sight between them. No matter what I tried, I could not get any type of sound volume or sound quality that was acceptable. I returned it and purchased another device for about twice the price, and the difference was night and day.<br /><br />I guess it's possible my unit was defective, but after reading some of the other reviews that denoted the same issues, I doubt it. I rarely give one-star reviews if I can avoid it. But sadly, this unit is a total bust.<br /><br />If you think this review was helpful, please indicate so below. Thank you.",0
"This is a handy power strip. It features 6 electrical outlet and 2 USB charging ports. It has surge protection for up to 1080 joules - not enough for a lightning strike or anything like that, but certainly good enough for more typical voltage spikes. It has a cable that's about 6 feet long.<br /><br />The odd thing is that it also features individual outlets that can rotate in either direction. This is a nice feature to help organize cables - something that's always at issue where theres a power strip involved. These individual outlets rotate and click into place at 45 degrees and 90 degrees from normal, in either direction - but you cant plug into them at 45 degrees. The outlet holes are blocked. So why have them click into position at 45 degrees if you cant use them there?<br /><br />This is a well made power strip with some nice features...",0
"I'm far too cheap to buy a new car. So I've been looking for inexpensive options to help me pimp out my old car! LOL! This hands free device is amazing! I use it every day! It lasted over a week on one charge. The call quality is amazing. And it is so easy to use!! My husband is trying to steal it even though his vehicle has a handsfree system already. Fat chance, sucker!",0
Used this for my Atmos is setup and it really does not disappoint. Sounds is amazing and the wire seems of great quality. I remember spending 5x this amount in the catalog years. Thanks Amazon!,0
"I am so excited about my new Kindle Fire.  I did all the research on it and then let my husband know and he gave it to me for Christmas.  Last night I sat down with it and navigated through it easily.  I ordered a book on Amazon for it and it was so easy.  Downloaded the book in seconds.  I like the fact that you can change the background to three different colors, white, black, and the one I chose which is kind of a light beige with black letters.  I think this is a great little electronic.",0
"This is just really cheap quality stuff. (I bought the black version which was the only one available at the time.  It doesn't have pockets in the front).  The stylus tip was unusable after a week.  The headphones aren't good quality and the sound is poor.  Haven't tried the car charger because I'm concerned it will blow the fuse - it's really, really, cheap. Ditto the screen protector. The case is too obviously cheap looking plastic - much less quality than it seems in the picture.  It's not something you could use without embarrassment as a professional.  The rotation part is good, but mine would not stay propped up when it was horizontal.  I recommend you save your money and purchase something more respectable and better quality. You can get a decent case for this money without the gadgets.  This looks like a good deal, but it is unfortunately too good to be true.",1
"SO not worth it. Not only do they catch invisible to the eye particles until in place, but they bubble, and applying them is like a game of chess.",0
"UPDATED March 11, 2015--See Below<br /><br />SHOULD YOU BUY THIS UNIT?<br />In my opinion, this unit, like all things Amazon, is only about 80% ready for market but they release this stuff anyway. It's a cheap shot to their customers and they should straighten up and actually release products when they have all the features advertised actually implemented.<br /><br />Buy this thing only if USB isn't important to you AND if you are willing to wait hours to upload video and picture content to the Amazon Cloud Drive. ABOUT THE CLOUD DRIVE--the initial allocation of space for your account is only a few gigs (I think 2 gigs). After that you can upgrade and pay Amazon more money for the bump up in storage space. That this unit has a non-functioning, flaccid USB forces you to use their cloud for video streaming your own stuff and this works for Amazon because lots of folks will end up paying for more cloud storage. This is borderline unethical in my opinion.<br /><br />Pros:<br />Sets up easily.<br />Great help videos<br />Outstanding picture quality<br />WiFi and Wired connections both very good<br />Small footprint<br /><br />Cons:<br />USB not implemented so you cannot play your own video content without uploading to their cloud<br />Uploading to their Cloud takes much longer than other clouds (Dropbox for example). It's hours compared to minutes<br />Puny cloud storage allocation without upgrade<br />Search has no QWERTY layout to type in your search and no way to add a space and second or more words to the search<br />Limited on-line support<br /><br />CONCLUSION: Not really ready for prime time if you need full functionality in a unit like this.<br /><br />UPDATED March 11, 2015: REDUCING THIS TO TWO STARS. Okay, this is the most annoying, frustrating and unreliable piece of technology I've ever purchased. In the months since I bought this item its performance has degraded to where it is simply unacceptable. Amazon tech support is of little help and neither is Netflix tech support. Here are the NEW FEATURES my Fire TV now performs:<br /><br />1) Regularly pauses an in-progress program as if I'd pressed the pause button. It usually resumes after I press the play button on the remote.<br />2) It does not play nice with Netflix and often (actually daily) gets hung so that I see an error message telling me there's trouble, &#34;playing this video right now...,&#34; and suggests I try later or pick something different. Well, I don't want to wait, nor do I wish to watch something else.<br />3) It often cannot find my HDMI cable, even though I've tried several cables. It is, therefore, not a cable problem but an internal glitch in the Fire TV box.<br />4) Often after turning it on, it goes to a blank screen from which there is no return.<br />5) There are many more fun things this piece of garbage does but why bother list them.<br /><br />Tomorrow, I'm going to Best Buy to pick up a Roku 3 for about what it sells for on Amazon. See, then I won't have to wait for it to be shipped and, if necessary, I can take it back to a real store and exchange or return it. Oh, and I intend to donate this Fire TV box to the garbage can. I do hope it won't offend the garbage man/woman/person/whatever.",0
"The rotating design on these cables is such a cool and smart idea! I appreciate it the most when I’m reading in bed at night and my phone is charging. No longer do I have to ignore the cable sticking straight out the bottom of my phone. Now I can bend the head of the cable so it sits flush against the bottom of the phone. It’s more comfortable to hold and there’s less chance of accidentally unplugging it.<br /><br />The swivel head is somewhat stiff, so it stays at the desired angle.<br /><br />The cables are USB-C to USB-C. Three USB-A adapters are included. The cables are braided and flexible.<br /><br />The cables work for charging AND data. I use them to charge my phone (Note 20 Ultra) and also to connect my keyboard to my computer.",0
This product was very easy to install and it is the best protector I've used. No bubbles and completely invisible Feels like I'm working direction on the glass screen.,0
"So not doing to much with this card, it's in a Wyze cam. In this application the card works very well and we are pleased with it.",0
I find it way too tall. I knock it over constantly as I take my hand on and off of it. I am constantly having to reposition it or flip it back over. Its just way too big and bulky. There are a lot of other more sleekly designed ergonomic ones that work better.,0
Got this for my 17 year old granddaughter.  She really likes it.,0
Perfect!,0
Innovative product!! I got 100ft and ran it via ethernet to the ps4 ethernet. I got tired of lagging.  Now I'm gaming at 81mbps via wire compared to 10mbps via wifi.<br /><br />Overall i love it..i ran it along side of the wall trim!<br /><br />Also the customer service people are great! This is my new go to company for cabling. I love the rj11 look even tho it's rj45 cat6<br /><br />Thank you so much for your help!  A+ Review!!<br /><br />I really appreciate all of your help! I will continue to order from your company!<br /><br />Have a nice weekend!<br /><br />-Blessings,0
I bought these it was difficult to connect to my phone. When I would video chat on my phone using them and a call would come in it automatically hangs up my video call. 😤,0
"Reading through some of the reviews from 3+ years ago, it seems that not much has changed with the product design or its appeal. It still does not come with a pass through USB - if that's important to you, look elsewhere. The fan comes in two settings - in the higher setting of the two, it does get noisy and a bit distracting. At the lower setting, it is not that noisy, but for something with a fan, it is very ""quiet"".  I frequently travel to Asian regions where temperatures can reach 100-110F.  This cooler has helped me become less paranoid about my laptop.  Since you can power it off your laptop, it eliminates the need for any other power converter, etc - an excellent design feature.  It looks stylish (enough for me, at least) and sturdy enough.  If you mostly use your laptop at your desk - this has the obvious added benefit of raising the laptop - eliminating some wrist pain.  Overall, a great value.",0
"Doesn’t properly fit, large gaps which make it unattractive.  I purchased one from someone on Amazon that fit my pro 1 perfectly.  This was disappointing.",0
I love em! They pick up sound very well~ No allowing of vibrating sounds. Everything is clear n sharp~ They fit into my ears very well compared to other plastic earplugs which hurt the ear. These are soft yet at the same time grippable!~,0
2 of these and a Tap,0
Daughter like it,0
"I decided against installing this radio myself for reasons. We hired a local shop to do it. It seems to be done correctly and everything is working as it should.  The 6.8"" screen is big enough to see and make the choices I want driving. It's working with my LG phone via bluetooth and that was the primary reason I wanted a new stereo in the older Sequoia. We'll see how it fares as time goes by.",0
Great picture. Difficult to back out of Facebook videos.,0
"My cat has chewed through so many cords - I have had to replace them time and time again. But with these covers, he can’t anymore, and that is not for lack of trying. It discourages him I think or maybe the texture isn’t what he is looking for, so he doesn’t even try to chew through these!",0
"I don't really like in-ear buds and use around ear headphones at home. This seemed like a decent on the go solution, but they seem like more trouble than they're worth. I haven't had issues with disconnecting or not having native English voice prompts, but they just don't seem to ""do it"" for me.<br /><br />By nature of the fact they fit on the outside of the ear, they're not the loudest even at max volume. The design is nice because it allows me to hear people talking without having to pause the music or remove the headphones, but I wouldn't consider these as possessing any noise canceling properties.<br /><br />They don't fit snug either and if I manage to get them into a position where they don't move around a bit, they'll begin causing discomfort after a brief period. I feel like I'm constantly adjusting them, which leads to me triggering the very sensitive touch function. I'm not positive how the touch functionality works, as it sometimes pauses the music as expected but often randomly controls volume.<br /><br />They work and everybody's different, but they're ultimately too touchy, don't fit well and aren't loud enough.",1
Worked,0
"Worked great first use, this is second time using it, bluetooth no longer works, can't tune in radio stations. Probably keep, works with aux cord.",0
Perfect!,0
"Solder the radio wires to the harness, plug into factory harness and radio and your done. Go back to factory? Just unplug the harness and plug the factory harness back into the factory radio. This made install very easy.",0
Top leaves much of back exposed due to hinge flap and no matter how much you adjust the front of the “top” there’s a big exposed white section so it looks cheap and out of tolerance. CRAP,0
Easy to install . I just informed my friends to buy this. Inexpensive too,0
Does not work.,0
"I’m always on the lookout for new ways to organize my cords. The Wrap-It Storage Super-Stretch Silicone Bands caught my eye because of the bright colors and the ease of using them. It’s much easier to wrap a band around cords than to fumble with a cable tie.<br /><br />The bands are about the same size as an average rubber band or ponytail, but they have less stretch. Which makes it hard to get the bands tight around a thicker cable, like an HDMI cable.<br /><br />But otherwise, the Wrap-It bands are pretty good for organization. I like that I can organize cord type by color. In the 48 pack of bands, there are 6 of each color (red, salmon, orange, yellow, green, teal, blue, and purple).<br /><br />I wouldn’t recommend using these bands for ponytails unless you’re in a pinch, or have thin hair that needs the grip of silicone. My hair is thick, so these pull at my hair. The silicone also picks up loose hair and dust, so I’ll be sticking to using them for cables.",0
"I could not get it to work and the instructions were sketchy, at best. Grrr...",0
"This is an interesting speaker.  The flame is more like a disco light- bright and flashy-rather than a flame.<br /> But it is fun and adds some great atmosphere to the room.  After charging, it was easy to pair with my phone.  The ""Welcome"" voice was a bit garbled, but the connected sound (music, books, etc) is thankfully clear.  It has the options to manage the speaker on your phone, or has buttons on the speaker itself for volume.",0
"Battery life is terrible, dies in an hour, sound quality is alright not too much better, but the volume increase it game to my speakers was alright",1
"This hub creates audio noise when listing to music, as well as, on my Nettalk VOIP phone. Neither are connected to the hub.  It also cuts out at random times.  I have two other hubs that give me no problem in the same configuration.  Even the 2 port hub built into a Dell OEM keyboard works better.",1
haven't had a problem so far as a matter of fact I was impressed and bought another one easy set up and easy to use,0
"Picture had colored lines and would not work most of the time. As for the sound, well it was non-existent.",1
Although I did not expect Bose quality sound-there was more static than music.  The company did make things right without any problem.,1
"The shape of my ears are rather strange so earbuds never work for me - until I used these little hooks. The large pairs fit my ears perfectly, and now I can use AirPods comfortably without worrying about dropping them.",0
Wow such quality with this case for holding my Son’s 13” Mac. Nice smooth polyester material on the outside with a nice zipper for a little storage. Total durability. Super impressed with inside. Greatly padded with protective material. There’s no where for wiggle room inside the case. It’s perfectly designed. It’s perfect for carrying the laptop from here to there. I couldn’t be happier with this investment. Definite longevity. True quality for what I paid. Absolutely recommend!,0
"These are perhaps the best in ear earphones I've ever used.  They are lightweight, comfortable, stay in your ear, and offer great sound.<br /><br />I've long ago ditched most earbud style earphones. They offer horrible sound, are uncomfortable, and never stay in your ear. These earphones address those issues with style, comfort, and great sound reproduction.<br /><br />The mid and high range reproduction is crisp and clean without any noticeable distortion. Low range is somewhat lacking but is proberly above what most small earbud style headphones are.<br /><br />They feature many great design features such as replaceable buds for the earpiece. There is small, medium, and large. There is also a set of memory foam that you can choose. This is good because as everyone's ears are different, most earpieces are not. This allows you to choose the fit of the earbuds to suit your own needs.<br /><br />The part of the cable that plugs into your walkman, diskman, iPod or whatever is steel reinforced, which is nice as that is what usually breaks first on headphones.  They also come with a steel carrying case to protect your headphones when not in use.  They also have a cleaning tool to clean any nasty bits that may get into the canal of the phones.<br /><br />All-in-all a great set of phones for the audiophile. They are lightweight, sound great, and most importantly, stay in your ear and are comfortable.",0
"You put these on, connect them to your phone with Bluetooth and no one knows you are listening to music while you are strolling along. These have nice sound. I might just have to get my prescription sunglasses changed so that I can wear them in these. Then I can see well and hear excellently. I recommend these. My husband tried them on and he has a big head. I can wear them and they aren't too loose on me either.",0
Used in my Aorus X570S build with a Ryzen 5900X. Fired right up without any issues! Runs at advertised speed. What more do you need?,0
"This monitor stand does exactly what I was hoping it would do for my desk top area.  I have a very large desk top area however the set up I have, and the fact that I have a rather large monitor and I don't like using the drawer tray to do writing because it puts my t-rex arms too far away from the keyboard, I needed to be able to lift my monitor up off of the desk top so that I could slide my keyboard a bit sideways up underneath the stand so that I will still have room to write.  It did exactly that and with ease!  The stand itself is very durable, sturdy, easy to slide, move and position in the ways I need it to.  It's also very easy to dust and wipe down.  The best part of this one versus some of the other ones I have seen is that the legs are more like telescopic tubes rather than bulky legs, this helps maximize all of your space.  If I ever need another one for any reason, I am absolutely buying another one of these.  I hope this review is helpful!",0
"Bigger is not always better. In fact, when tested against cheaper shotgun mics this fares significantly worse. This is a surprise given the quality of audio technica microphones in general. The sensitivity is exceedingly poor, with lots of noise due to the low sensitivity. The frequency response is also very poor with no low end whatsoever which is very noticeable on Dialog or voice recording when shooting video. The pattern setting makes minimal difference.<br /><br />The materials seem to be of good quality and there is attachments for both camera shoe and mic stand. But the appearance simply cannot make up for the exceedingly poor sound quality regardless of which setting used.",1
"At first glance this product seems that it would be a good device to record lectures or talks. It does work, but the sound quality is definitely lacking.<br /><br />Pros: Device is small and can be used almost anywhere.<br /><br />Cons: Complicated wire-button system to get the recorder to record. Sound quality is dismal. Battery life is only 2-3 hours at most before it drains.<br /><br />All in all, it does work. But other devices have better battery life and sound than this. Save your money for a better device.",1
"Solid, tons of possibilities.  One couldn't ask for more!!!",0
"I must say, if this is what ""renewed"" or refurbished is, don't plan on using it for any showcasing or importance. My monitor looks like it took a beating. I have bought renewed items before, this one isn't renewed, it is just used, which is misleading.",0
Good sound quality. Came linked to my account already which made setup a breeze. Nothing wrong with the camera quality so I don't know what others are complaining about.,0
"Nice little unit for Streaming Music to my Stereo. A bit of a hard time changing the name from Alexa to Echo so there would be no confusion with my Echo Dot 3 in the same room. It simple could not be done from the Alexa App for what ever reason it could not find Wake UP Word so I could change it. Uninstalled Alexa App and Re-Installed. Rest Reset the Echo Input several times and restarted the programming process, tried 2.4GHZ and 5GHZ WiFi, etc.. Ended up finding a forum that said just try changing the wake up word verbally instead of with the Alexa App. So I did; I said: Alexa, Change Wake Up Name to Echo and it worked. So Not sure what the issue is/was, but all is working now even though it still does not show the Wake Up Word on the Alexa App???? So Set up would have been much much faster without this issue for sure.",0
I really wanted to like this little speaker. The reviews were amazing. I wanted to replace a portable speaker I have (the size of a hockey puck) with something smaller for travel. But the sound form the Ewa is only halfway decent if it’s in it’s case which makes it the same size as my speaker!  The sound is tinny and worse outside the case. Mine is much lighter weight and much better sound quality. Bye bye Ewa!,1
It is very comfortable on the hand when you are typing all day. You notice the difference right away when you use this mouse. Fabulous!,0
Great sound. We had to send it back as I brought the wrong one (corded not cordless) I am sure the cordless will sound just as good. We tried Bose and found this to sound better.,0
"[[VIDEOID:89731e98ac896037af72c7e316af514d]] What I like :all metal finish. Lightweight. Easy to store. Came with a nice velvet storage bag.<br />What I don't like : unsturdy. Needs to use two hands to set up the angle (or difficulty with one hand) doesn't lock in place so it was quite some jiggle to get it to settle with one hand. The anchor ""hide"" which is nice for storage but you have to use your finger to keep it in place or it falls back into its slot.<br /><br />Ordered this for my son to use during virtual school. Works well for keeping the laptop at an angle, just need quite some jiggling to get it to set up. Sometimes I even feel two hands are not enough.",0
wow what a deal!,0
I got this for my son-in-law's birthday and he took it to the beach the next weekend.  He was very pleased with the sound quality and everything about it.,0
"Pros: What I said above plus....the sound is even better than most earbuds that cost more than this.  The bass could be too thick for some but you can tweak it with equalizer in app if need be.  I also like the earbuds turn on automatically when put up against your ear.  At least that's what I think is happening. :D  It's also nice that the charging case/base has a 3 LED gauge for base battery status and charging status.  So a full charge with base plugged in and then another round of charging with the base (not plugged in) gives you plenty of hours.  From what I recall, my drive to Orlando, Florida from Chicago was about 24 hours with stops and earbuds were still running strong.<br /><br />Cons: Not much other than an issue I'm having is with initial bluetooth connectivity but it could be user error.  Sometimes the app picks up some other brand device on bluetooth (like a beat maker light or speaker) and I don't even think I have that in the house.  Also, after dealing with customer service,  if battery is low (not dead), the bluetooth may not work properly. So if it's disconnected and you try to reconnect when battery low, it could be tricky.  So those 24+ hours functionality could be less if you have disconnected the bluetooth with a low battery.  Can't think of why it needs much energy to connect to a bluetooth or even it's 100% that issue.<br /> Not a big gripe though.  I  just keep earbuds in when I'm using it.  And when it starts to get low while in my ear I just make sure to put in in base to charge.  And to make sure tokeep it at a good charge capacity when not in use.  Also, I think the battery drains when not",0
"This is a very easy to use timer with some features that I’ve not come across before. It offers three main modes:<br /><br />1) Clock – standard digital clock<br />2) Count up timer – can count up from zero to time events. It counts in whole seconds, so it’s not a true stopwatch.<br />3) Count down timer - you can set it to count down to zero.<br /><br />The three modes are set by a sliding switch on the left so it’s very easy to change between the modes. It also has a memory feature so you can store a value and re-use it. For example, I use the count down feature to time tea brews, and have set a value of 3 min into memory. To repeat the countdown all I have to do is press the memory button and it sets itself to 3 min.<br /><br />The best feature is that you can turn off the beep! There are three notification methods: a standard beep, vibrate or a flashing red LED. That’s a huge plus since I usually carry the timer with me and find the beep to be very annoying. The light or vibrate options are far nicer to use. I would imagine the flashing LED light option would be especially appreciated by the hearing impaired. You set the notification type with a switch on the back.<br /><br />The overall build quality feels very solid. The numbers are large (about 0.75 inches tall) and easy to read even though the screen is not backlit. There a clip on the back that includes a magnet, so you can position this on a fridge or stove hood. The clip does not detach, but the profile is low enough that it doesn’t cause a problem if you want to carry the timer in your pocket.<br /><br />It runs on 1 AAA battery (included). The package is easy to open – no clamshell to have to wrestle with.<br /><br />It’s a well-made timer with some great convenience features built in. Highly recommend.<br />[Sample provided for review]",0
"I had the DT 770 Pros 80 ohm for several years. I had been eyeing an upgrade to the 770's and I was looking for another closed back set. The main contenders were the DT 1770 Pro and the Massdrop 177x GO. I was able to try both and decided to stick with the 1770s over the 177x (I paid approx the same price for both, so price was not an issue). I'll discuss a few of the things I really like about the headphones below.<br /><br />Firstly, the 1770 Pros are SUPER solid and very high quality. As soon as you pick them up, you know they are pure class. The 1770 was noticeably more solid than the 177x, so this was an easy point. The 1770 also comes with a nice carrying case for the headphones, which was a great selling point for me. The case holds the headphones, an additional pair of ear-pads (it comes with leather and velour), and the cables (both coiled and straight), which are detachable. The non detachable cables were a big pain point on the 770 Pros.<br /><br />Sound quality- amazing. I know some people don't love the sound, but I enjoy a bass-y sound, and comparing these with the 177x's, these came out ahead in my mind (or ears).<br /><br />Lastly, comfort- these SHINE here. Beyerdynamic is known for their comfort and the 1770 Pros are no exception. I wear these for 6+ hours per day (thanks WFH) with no issues at all. I think comfort is underrated when looking for headphones, and fortunately, these don't skimp in that department.<br /><br />Long story short, these are great headphones. I came from the 770 Pro's and these are a worth successor. Very well built, great sound, very comfortable. Would buy again.",0
"I have a video projector but it does not have an HDMI cable, just RCA cables.  So, I bought this so i could hook up the Amazon Fire unit to it as well as a Blu-Ray/DVD player.  It simply does not work.  There is &#34;NO SIGNAL&#34; coming through the cable.  I bought it, but my items were out at the lake, so it took me a few weeks to go out and try it.  I never thought it would be a defective product or a product that just doesn't work, so i didn't rush to try it out.  I'd avoid this product as you're just throwing your money away.",0
"This is built to accomodate up to a 55’ TV. Very sturdy with a solid weight to it. The mounting brackets adjust to fit wherever your studs are in the walls, to ensure a solid hold. The set up is pretty straight forward however I recommend having help especially if mounting a 50 or more inch TV. Extending the bracket with a mounted TV still feels very sturdy, I can’t sense any strain on the bracket.",0
"Versatile charging station in that it'll charge 4 Cs, AAAs or AAs or 1 9 volt. The trick is that the contacts are swing loaded sliding bars - to insert AAAs, you need to catch the battery contacts on the proper edge of the stepped bar. A little clumsy, but it does work and is effective. There's a built on display to show charging status. Works well.",0
"I got a white owl for my downstairs Dot (named Hedwig of course), and finally got a black one for my upstairs bedroom (all my furniture is black so it looks great). It is larger than you'd expect, sturdy, and doesn't impact Alexa's function (she ignore's my commands the same % of the time). Love my owls!",0
"like it very much, and the pen can put in it easily",0
"thought would be better quality sound. I am kind of a speaker snob, but not a crazy one.  these are no better than similar speakers I paid 1/2 the price for in the past",1
