id,rating,text,人工判定_1为音质负面_留空待填,备注_留空待填
77237,3,"Short story of the review is that these are just as they say they are--a pair of relatively inexpensive ""basic"" earphones.  As such, they seem to be a decent value and have some good points, but if you're looking for sound quality over price, you'll want to go elsewhere.<br /><br />Pros:<br />Packaging:  small and minimalist as it should be<br /><br />Provided with:  multiple size earbuds caps and ear inserts (more on these later), a very short charging cable, and a decent zip-around traveling pouch<br /><br />Pairing:  No problem with any of my Apple devices. Instantly recognized and paired with an iPhone (8 and 6), iPad (Pro and Air 2), and MacBook Pro. Couldn't be quicker or easier each and every time<br /><br />Comfort: This was an issue for me, though obviously this is a pretty subjective category.  I had to step down immediately to the small caps/rings, which is no surprise--I do that with I think all of my earbuds. But even with the smalls I just couldn't get a a good seal or a comfortable, though oddly enough much worse with my right. The left was not ""great"" but was certainly good; right was a bad seal and wholly uncomfortable no matter what I tried.  Weird.<br /><br />Sound quality:  Again, it's a matter of pricing here. I don't own many basics and it's been years since I've had a set of lower-tier earbuds, so it's hard for me to compare at an equal level.  The sound is what I'd call adequate, especially for exercise or listening to an audiobook.  But there's no comparison to my PowerBeats3 or Jaybird X2s, and not even to my Jabra Elites, which I""d call my mid-range ones. The first two are in a whole other class in terms of range, sharpness, richness, and comfort, while the Jabras are a good step up in both sound and comfort.  Sound here is more than a little thin at both ends, and just not very rich or full.  Less noticeable with an audiobook, but definitely not the buds I'd choose if I'm focusing on listening to music, as opposed to having background sound while I""m doing something else.  Phone quality is pretty similar--adequate, at times a bit muddy.<br /><br />Controls: easy, intuitive, and responsive<br /><br />Overall, if you want a basic set where quality of sound isn't a deal breaker, or a pair of cheaper ones for places you might have to worry about forgetting them, these will suit the bill, assuming you don't have the same comfort issue I did.  But for someone looking for rich, full sound, particularly for music, I'd strongly advise moving up the ladder",,
57829,2,"I have the Marley &#34;People Get Ready&#34; headphones and like those, so wanted to try these, too. I think the sound is disappointing with limited bass. Not recommended.",,
21364,1,"This is a great product for the price. The only drawback that I can see is the manufacturer should at least add an adapter to hook this up to a computer. It only requires a simple RCA to 3.5mm jack device. Although it is supplied with three RCA cables to hook this system to other devices. Other than this simple issue it is a great package for a small apartment of a single room.<br /><br />UPDATE!<br /><br />After two weeks of usage the surround speakers started crackling and popping, not to mention hissing. This all hooked up to my computer. I do not abuse speakers nor listen to loud music or anything else. I returned the first set and instead of getting a refund I took a replacement thinking that i just received a bad set. Well only after 3 days with the new set they started doing the same thing so i sent them back for a refund. These speakers are not worth the money at all. My first impression of them were way off base.",,
49404,1,VOLUME WASN'T GOOD AT ALL.,,
90462,2,This speaker is not worth the price. I have plenty of speakers and almost all of them sound better and cost less. It’s smaller in size and weighs less than I figured it would. It just feels cheap to me. The positive reviews must be from 1st time Bluetooth owners. There is absolutely no way this is 24 watts! I have one that is smaller than this one but weighs more( and cost less than this one). And it’s 16 watts and blows the doors off of this lightweight. Looks like I’ll be returning this one. If you don’t mind tiny sound and maybe just use it for background music it would be ok but that is about it. Look around more this is not the best choice.,,
86478,3,"I've looked at these for a while now. Took one of them apart and noticed that it's made by Philips. It seems that several of these ""generic"" models are made by philips and sold to other companies. Or are obtained by some other means... Long story shot, TV does what it says, inputs work, battery recharges etc etc. Sound quality is not very good, use headphones if you can. Not a bad purchase, just makes one think sometimes. On 1st try, doesn't play H265 HEVC, aspect was 720x480.",,
89761,3,Speaker is ok but distorts at 75% volume. The angle 3 is a better deal and doesn’t distort at full volume. Wish I had just bought another angle 3 instead of the ultra. Angle 3 is also louder in my opinion.,,
23293,3,Annoying hum when volume is past 50%,,
98634,3,"Overall, the product works. You're going to get audio that's a bit better than the cheap speakers on your computer monitor, certainly louder audio, but not necessarily the most crisp audio. They're tuned toward the low end and the audio feels like it has good body but seems muddy on the high end. Ultimately better than nothing but not amazing. You can shut off the RGB lights, which I was worried you may not.<br /><br />Better than nothing but certainly not better than their price.",,
3629,3,"I purchased four other Bluetooth speakers for my house over a several year period. I have a [[ASIN:B007ZG03DG Bose Wave Bluetooth Music Adapter]], which is not very good and a [[ASIN:B00MPMK3GW Goal Zero 94014 Rock Out 2 Green Solar Rechargeable Speaker]] which does not work when paired with some devices and, when it does pair well, it usually lacks the powerful sound I am looking for.<br /><br />I also purchased one [[ASIN:B00SNBCBBY ION Audio Block Rocker (iPA76A) | Portable Bluetooth Speaker]] and one [[ASIN:B01N17AQ7U ION Audio IPA88 Tailgater Flash Wireless/Bluetooth Speaker]] both from Costco. I absolutely love the Block Rocker (except for when paired with my iPad Pro) and I only like the Tailgate Flash. The lights on the Tailgate Flash annoy me because they have to be turned off every time I power on the unit. Nevertheless, the sound from the ION speakers are usually awesome.<br /><br />The IONs are the only ones I use frequently indoors (even though they are more of an outdoor Bluetooth speaker). They are powerful speakers and the sound is intense. However, I wanted something small and more portable and since the Goal Zero does not always function, I figured I would try this Sony.<br /><br />What comes in the Sony box<br />- one Bluetooth speaker<br />- one micro USB charging cable<br />- one quick start guide<br />- one user guide - warns against using & leaving unit in a car or sauna but does not say much about how to operate this speaker<br />- one limited 1-year warranty insert<br />- one pamphlet about the SongPal app - a mobile app from Sony that allows the user to play music or audio from various devices and smartphones.<br /><br />Features on the SONY<br /><br />- It is rated as IPX5 water resistant (not waterproof but close enough; it probably will not soak through in a short burst of heavy rain). See link in comments section of review for description of ratings.<br /><br />- It features a wireless party chain that allows a connection of up to 10 Bluetooth speakers at once. I did not try this feature. I am not sure if all in the party chain have to be Sony speakers or not.<br /><br />- It has a speaker phone voice assist function to allow for hands free voice over IP through the speaker, which I was unable to get working.<br /><br />- It lights up (great for party or listening to vibrant music). I love how the blue light pulsates to the music but it can be turned off if desired and once it is turned off, it remembers that setting until it is turned on again.<br /><br />- It has a speaker add function for adding an extra Sony speaker for surround sound.<br /><br />- It has up to 12 hours of battery life.<br /><br />- It charges from most USB power sources including from the USB port on a laptop<br /><br />These are the control buttons from left to right.<br /><br />- Extra Bass Button (toggles on and off for extra bass); when held for a few seconds it turns off the blue perimeter light. I like that it remembers the last setting so if I turned off the light, the light will remain off until I choose to turn it on again.<br /><br />- Phone Button for speaker phone assist; when held for a few seconds, it says the battery charge percentage. However, I found a quirk in the system. If I am charging the unit and turn it on to get the battery charge percentage, a woman’s voice came on and said 70%. However, if I unplugged the unit from a power source and turned it on, it said it was fully charged.<br /><br />- Pause and Play toggle button<br /><br />- Speaker Add button (Left/Right) for pairing another Sony speaker to this unit for surround sound.<br /><br />- Minus button for lowering volume.<br /><br />- Plus button for increasing volume.<br /><br />- Power button for tuning the unit on. Once unit is powered on, hold the power button for a few seconds and then release it to pair a device to the Bluetooth speaker. Upon release, a female voice says “pairing” and then it beeps once it is paired.<br /><br />I charged the speaker for a couple of hours before the first use but I am not sure it needed it as the battery indictor fluctuated between 100% and 70% charged depending on whether the unit was plugged in or not. The connector port is located behind the tiny cover on the back of the unit. I had trouble opening this with my fingernails.<br /><br />I paired this speaker with the following devices.<br /><br />- Google Nexus 7 Tablet (2013 version Android device) – the sound is moderately powerful.<br /><br />- iPad Pro 12.9 – the sound is okay; I actually prefer the powerful sound that is supplied by the iPad Pro’s own speakers over this Sony speaker. The system wanted me to install SongPal as an option; I found it under another name and after installation, the app said it would probably slow down my iPad so I immediately deleted it.<br /><br />- HP Omen Laptop – the sound is powerful and much better than the Omen’s own speakers.<br /><br />- Dell Latitude E7470 Laptop – the sound is powerful and much better than the Dell’s own speakers.<br /><br />As usual, I am disappointed in the user guide. It does not describe each button. It only mentions the Voice Guidance usage and does a poor job at that. However, the quick start guide pictorially shows the buttons as long as one can decipher the pictures.<br /><br />In summary, the unit is sleek, simple, and shaped like a super-sized oblong pill. It is heavy at 1.45 pounds. When powered on, a blue perimeter light outlines the speaker and pulsates to music.  I found this speaker to be moderately powerful when paired with three of the four devices I tried it on. I did not like the sound with the iPad Pro. To get the best performance, I needed to leave on the “Extra Bass.” The battery-charging indicator is a bit quirky and untrustworthy. The charge percentage was different depending on whether I was plugged in or not. I like that it is portable and water resistant. The instructions could be better and until I figured out the unit, I initially had trouble pairing. When using the phone button, I was unable to get voice over IP to route through the speaker no matter what I did. Overall, in comparison to my very portal Goal Zero speaker, this speaker is better. Although it is an unfair comparison, no portable speaker has yet to compare to my two ION speakers. I would have rated this four stars if it were not for the lousy written instructions, the quirky battery charge indicator, and its failure of the speaker phone voice assist. I was also very disappointed in the sound with my iPad Pro. Other than this, this speaker is a good contender for the right application.",,
82225,1,"My mom got one of these and I really liked it - so I bought one for myself a week or so later.<br /><br />Negatives:<br />Within a month, the radio on both clocks stopped working reliably.  The volume has a life of its own - it goes from so quiet I cannot hear it to so loud my neighbors are probably tempted to call the police and back all in 5 minutes.  My mom just stopped using hers.  I still occasionally get desperate since it is the only radio in my bedroom but now it really rarely will turn on above a low whisper.<br /><br />The radio  tuning ability is extremely poor - it is a struggle to tune in the NPR station I have every other radio in my house tuned to.  So, I know the signal is very good in my house.<br /><br />Buttons, dials, etc are confusing.  I've had this clock for years and still can't remember how it works without taking off my glasses and staring at all the buttons for awhile.<br /><br />Pros:<br />-Alarm works fine<br />-It automatically knows what time it is - great for power outages / time change, etc<br />-Numbers are large and red - large makes them easy to see, even at a distance.  Red doesn't ruin my night vision and doesn't keep me up at night like green or blue does.<br />-Easy snooze",,
27730,1,"Clipping (AKA crackle) can be heard in loud passages from local FM classical station. It is as if the signal strength is made too strong - but how could that be? Whereas the simple single wire antenna (which just turned up after our latest move) provided with the Sony box works fine. Could it be that the Bingfu antenna overdrives the 75 OHM FM antenna input?  But how could that be? Or perhaps the antenna itself has a weak internal connection that fails to carry the most strong signal? FM is Frequency Modulation, not Amplitude Modulation so the amplitude stays the same, right? So why clipping? OK. You get the idea. This Bingfu goes into the junk box for reuse as... what.",,
51121,2,The output on this amplifier is very low.  We returned the unit and purchased the Pyle2X120 Home Audio Power Amp.  Very satisfied with out purchase of the Pyle.,,
55590,1,I STRONGLY recommend NOT buying this.  The microphone sounds like there is a bad ground.  Nothing but a loud hum/buzz.  The headset itself is comfortable and sound quality is good.  The mic though... unusable.,,
63921,2,This is a case where you get what you pay for.<br />After reading so many glowing reviews I went for it and got this set.<br />The left ear foam is already split at the seam and I used glue to stop the tearing further.<br />The sound quality is far below that of the much smaller but slightly more expensive Koss KTXPRO1 Titanium headphones.<br />The sound volume is very low and increasing it to 100% still does reach a desirable volume level.,,
74513,1,"the bass rattles along with not being able to get loud without having breaks in the audio, also costumer service made spend 100$ on another amp after they told me that my original amp was the problem. Poor service poor product",,
25816,1,It's fine for some one who doesn't like to thump...  The sub puts out little bass and speaker are for highs only..  Local pawn shop gave me 15 bucks after the kids poured yogart in the sub port,,
25326,1,What a waste of time for a very static radio. You can’t even get a good station to play return to sender.,,
85648,3,"I use skullcandy products ALL the time and is why I bought this item but.........<br />They don't sit deep in the ear like their other product, that is why the sound quality and noise cancellation only got a three. The little curve part that helps sit the ear buds in ear is the problem, makes it impossible to get deep enough in ear. I use them mainly riding my bike but also hiking, ect..  I also love the blue tooth part and that part works really well. Easy to go up and down on songs and volume also.<br />I just wish I could go deeper in the ear with them is all.......",,
18589,3,Found this item to not be the quality expected low volume along with poor sound quality makes this item usable as a light but not as a quality speaker for extending tv sound,,
95763,1,This radio works about half of the time. I've only used it inside my apartment and I've never dropped it. Sometimes I turn it on and there is no sound at all for about 20 minutes. Then for whatever reason the sound comes on. When it does come on it goes silent when I turn the volume up or down. Then the sound comes back. I wouldn't buy this radio again.,,
50417,3,The sound is so low I can't even hear when it does beep considering returning,,
94984,3,"Update. 11/27/2020 Only A little over a year old and only used the on nightstand. The cord cover split.  Given the price of this thing, I’m surprised. Very poor quality materials.<br /><br />The earphones work great while the phone also charges. However, there is a big negative in that if the phone wiggles, the phone makes bing noises, like that bing it makes when the charger is first attached. This is a drag at night because others hear it. On the previous iPhones, 4 and 5S, if the headphone was in the headphone jack, any sound from attaching the charger was silenced. With this adapter, it’s not silenced. Again, if attached, the bing sound occurs every time the phone wiggles. Troublesome during the night.",,
11819,1,"At base where connecting to phone or fire tablet, earbuds shift sound in and out (another words, they don't work most of the time).",,
78705,1,"I returned these. Why? The bass was too prominent (not a balanced bass but punchy) and I could not escape it anywhere in the house. Before this I had Creative Labs Gigaworks speakers that I liked much better. Only reason I switched was sound started cutting out on creative labs. I am getting another set, learned my lesson on Bose, I expected better. Never again.",,
91980,2,"Not only is there a constant static sound, but it's impossible to understand conversations within even a few feet of the camera. The sound is distorted. As nanny cams, this problem makes these cameras worthless to me. Back they go! For what it's worth, the night vision is great. Wish the angle of view were greater. No click when the cameras go on or off, unlike Nest, so nanny doesn't know when I'm watching or not.",,
23685,1,I kept getting static when using this adapter.  Connected my Rift directly to the PC and no issues.  It seems that this works for some Rifts but not all.,,
1761,2,Not pleased with the volume level as this speaker is not loud nor has booming bass like the description said,,
75391,3,The sound quality is ok but I wanted to be able to connect to a better speaker. Bluetooth and auxiliary cable options have not worked well if at all.,,
94395,2,"Tinny sound, uncomfortable headset and terrible battery life. I was excited to get these and now I wish I had my money back. Here's hoping the next pair is is better.",,
