id,confidence,text,人工判定_留空
18390,0.8,"I've used this, but people say it sounds like I'm far away when I talk into it. Kind of disappointing, although my phone has been acting up lately, so maybe the problem is there. Construction, etc., seem nice and the incoming sound is fine.",
20647,0.8,"Everything about these gets a “c” on the report card. They are okay comfortable, they sound okay and they only lasted about 9 months. I would not order these again.",
23897,0.8,"The sound is there.  Better then the t.v.'s speakers, but not too much more.  But for the price, we we'd expect a studio sound system however we expected more from Vizio.",
26987,0.8,"The sound quality was surprisingly loud for bone conduction headphones. Although it was a bit too much when you turn them on and the blaring, rattling ""Power On"" was not ideal. I would turn these on in my hands instead because it would hurt my ears if placed on my head to turn on. Needless to say the downside was the charging cable was specific to these headphone only. I purchase a separate hard case to transports these headphone to and from the gym and still the headphones broke. Not certain how, but the left ear piece no longer plays any sound. :L",
29131,0.8,Not a $600 sound quality IMHO.  Heavy on the head as well.  I returned them.,
29439,0.8,"Meh. Too expensive for what you get which is mediocre sound and mediocre charging ability. However, living in San Francisco I bought it for an earthquake kit. I use it to listen to podcasts and it's fine for that and it does charge my cellphone, but is not powerful enough to charge an iPad. It isn't exactly light either so not something I'd want to take backpacking.",
34614,0.8,"Someone said &#34;These hurt my ears a bit as they seem to have some sharp edges.&#34;... I had the same experience.<br />I did think the sound was pretty bass-y and just as good as the XX i bought 2 years ago.<br />I was wondering if these were knockoffs...<br />I also bought another new model fulfilled by Amazon that had the same 'X wraparound' shape as my old XX earbuds (look at the pics if you wondering what shape on the back of the earbuds I mean), and not the square-'blocky' square shape on these earbuds.<br />Also the wires are nice and loose on those other models ( https://www.amazon.com/JVC-HAFX101V-Headphones/dp/B007HIR3MG ), and not as rigid as these. The wire is a bit thicker on these, which maybe gives it some rigidity (which I don't like on these).<br />These also have a 'L' shape at the end of the cord, and not straight like the other models (i prefer the straight).<br /><br />If these are legit JVC's, I'll give it 3stars.",
35554,0.8,"The description on this headset is inaccurate, it states that it comes with in-line volume control, but it does not have any volume control at all. (Attaching screenshot of description at time of purchase in the event the description is changed to accurately reflect available features). The sound quality is good, the over-ear speakers are comfortable, and the mic works well but it is little on the soft side in terms of volume.",
35746,0.8,"So the product, like all in this price range, is made in china. The sound quality is okay for a 5 dollar set of earbuds, but definitely not a great everyday pair. It's more useful as a spare. The quick pair you can throw it in your pocket pair where you don't have to worry about it breaking. Don't expect the depth and detail you would get from a pricier set. Not much to say about them though, but if you need a really cheap set then get these.<br />DEFINITLY NOT AUDIOPHILE GRADE!! No one expects them to be obviously. If these break in a reasonable time, I will update my review.",
36271,0.75,"These connect okay, and sound is fine, depends on your device as usual. Feels comfortable in the ear, I have small ears, but I wouldn't work out with these, they don't feel snug enough. I connect to any Bluetooth device just fine, but it has a very small amount of distance. If I walk into another room to get something it starts cracking up. No problems with other headphones, just these. Fine for sitting at your desk, but there are better ones out there for the same price.",
36372,0.7,"good (not great) sound, but I have a smaller Jambox that produces the same sound and is much smaller and easier to transport.",
40401,0.7,"Good not great sound. Nicely made and packaged, The JDS C5, however has way better soundstage, freq. range and volume.",
40406,0.8,"Great design, and packaging.  I'm not feeling the sound quality to match, though.",
42385,0.8,It was smaller than I expected. The sound quality was mediocre. I gave it as a gift to my 90 year old mom to use to okay her cassettes but the buttons are not easy to push. If I had to do all over again I would just get a boom box.,
48499,0.8,Very nice design for the video. Tight fit. But it isolates the audio and makes it useless for audio.,
50050,0.7,Sound quality was mediocre fit and finish with mediocre I'm really surprised by how mediocre the Skullcandy indy work I have the Skullcandy crushers and they're awesome headphones but these here were a real letdown Skullcandy really have to step their game up!!!!,
60531,0.8,The sound only works half of the time. Other wise it's a great tablet.,
60559,0.8,"This little earbuds have great battery life. They are a little clunky in your ear, and the sound isn't that great, but they lasted forever. The range on the bluetooth was also hit and miss with sometimes being less than a foot, and sometimes over 10 feet. Overall, a great set for kids or a cheap pair of headphones.",
62424,0.8,"I think they are alright.  The sound quality is average for headphones in the price range.  The wires seem a little stiff to me, which I found more annoying than I probably should have.  All things considered, I would probably not buy them again.",
69357,0.8,"Not the best and not the worst sound. Really this was just suppose to replace the radio for the garage, but I dont think it will be a keeper. There is NO power button on the remote, so unless this is right next to you and you go through the overly complicated method of powering it on, the remote is a bit useless. For our purposes (keeping it up on a shelf in the garage) its just not going to work. The sound isn't good enough to make due. Oh well.",
